,Unnamed: 0,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
162,162.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,NATIONAL POPULATION COMMISSION,1901978275.0
163,163.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,DEVELOPMENT,57858851314.0
164,164.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CODE OF CONDUCT BUREAU,297904492.0
165,165.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CODE OF CONDUCT TRIBUNAL,26321943.0
166,166.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CHARACTER COMMISSION,141704074.0
167,167.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,23062977.0
168,168.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,POLICE SERVICE COMMISSION,377500835.0
169,169.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"REVENUE MOBILISATION, ALLOCATION AND FISCAL COMMISSION",93895011.0
170,170.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,GOVERNMENT-OWNED ENTERPRISES,141170085810.0
171,171.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MULTILATERAL/BILATERAL LOAN FUNDED PROJECTS,387298800000.0
172,172.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FGN SPECIAL INTERVENTION PROGRAMME (CAPITAL),20000000000.0
173,173.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,GLOBAL FUND,5500000000.0
174,174.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PAYMENT OF LOCAL CONTRACTORS' DEBTS/OTHER LIABILITIES,11286447500.0
175,175.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,GALAXY BACKBONE,4000000000.0
176,176.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,GIFMIS/IPPIS CAPITAL,5000000000.0
177,177.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OSSAP: SPECIAL PROJECTS,6000000000.0
178,178.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OSSAP: SOCIAL SAFETY NET,16000000000.0
179,179.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OSSAP: CONDITIONAL GRANTS TO STATES,10000000000.0
180,180.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OSSAP: PAYMENT OF ON-GOING PROJECTS,8000000000.0
181,181.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OSSAP - SDGs: SDG PROJECTS 1,7970000000.0
182,182.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,ZONAL INTERVENTION PROJECTS,100000000000.0
183,183.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,HEAD OF SERVICE (FEDERAL GOVERNMENT STAFF HOUSING LOANS BOARD),2500000000.0
184,184.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,SUBSCRIPTION TO SHARES IN INTERNATIONAL ORGANISATIONS,5000000000.0
185,185.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"NATIONAL DEVELOPMENT PLANS (FEDERAL MINISTRY OF FINANCE, BUDGET AND NATIONAL PLANNING)",1500000000.0
186,186.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CAPITAL EXIGENCIES/ADJUSTMENT TO CAPITAL COST,7196000000.0
187,187.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CONTINGENCY (CAPITAL),10000000000.0
188,188.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,GRANTS AND DONOR FUNDED PROJECTS,42955200000.0
189,189.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PRESIDENTIAL ENABLING BUSINESS ENVIRONMENT COUNCIL (PEBEC),500000000.0
190,190.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,GRANTS TO BOI TO SUPPORT LOW INTEREST LENDING TO SMES,10000000000.0
191,191.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,REFUND FOR THE ACQUISITION OF YOLA DISCO,26901762500.0
192,192.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,SPECIAL INTEVENTION FUND,20000000000.0
193,193.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CONSTITUTION REVIEW,1000000000.0
194,194.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CPA,500000000.0
195,195.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FGN INTERVENTION IN ZAMFARA/KATSINA/BORNO,1500000000.0
196,196.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FALCON EYE PROJECT (OFFICE OF THE NATIONAL SECURITY ADVISER),10000000000.0
197,197.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CONSTRUCTION OF NATIONAL ASSEMBLY LIBRARY (NLIDS),2000000000.0
198,198.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,DIGITIZATION ARCHIVAL FOR SUPREME COURT PROCEEDINGS AND JUDGMENTS,2500000000.0
199,199.0,2020.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,COVID-19 CRISIS INTERVENTION FUND - INCREMENTAL CAPITAL,100032119333.0
0,0.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,110000000000
1,1.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,63506151945
2,2.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,70051853172
3,3.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY MANAGEMENT,16376055295
4,4.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,SENATE,33267001807
5,5.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,HOUSE OF REPRESENTATIVES,51994511954
6,6.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY SERVICE COMMISSION,5734166662
7,7.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,LEGISLATIVE AIDES,9602095928
8,8.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PAC - SENATE,118970215
9,9.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PAC - HOUSE OF REPRESENTATIVES,142764258
10,10.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NASS - GENERAL SERVICE,8607475470
11,11.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL INSTITUTE FOR LEGISLATIVE AND DEMOCRATIC STUDIES,7373813596
12,12.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NASS - SERVICE - WIDE VOTE,389354934
13,13.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,OFFICE OF THE RETIRED CLERKS AND PERMANENT SECRETARIES,393789881
14,14.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PUBLIC COMPLAINTS COMMISSION,8690000000
15,15.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,INDEPENDENT NATIONAL ELECTORAL COMMISSION (INEC),40000000000
16,16.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL HUMAN RIGHT COMMISSION,3920000000
17,17.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NORTH EAST DEVELOPMENT COMMISSION,31334539570
18,18.0,2021.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,BASIC HEALTH CARE FUND,35025926586
19,19.0,2021.0,DEBT SERVICE,RECURRENT  EXPENDITURE,DOMESTIC DEBTS,2183490000000
20,20.0,2021.0,DEBT SERVICE,RECURRENT  EXPENDITURE,FOREIGN DEBTS,940890000000
21,21.0,2021.0,DEBT SERVICE,RECURRENT  EXPENDITURE,SINKING FUND: SINKING FUND TO RETIRE MATURING LOANS,200000000000
22,22.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PRESIDENCY,49058552836
23,23.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF DEFENCE,838559082105
24,24.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF FOREIGN AFFAIRS,75598309138
25,25.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF INFORMATION & CULTURE,53041805721
26,26.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF INTERIOR,227015559081
27,27.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,7820057427
28,28.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AUDITOR GENERAL FOR THE FEDERATION,4420905177
29,29.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF POLICE AFFAIRS,437252055957
30,30.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF COMMUNICATION & DIGITAL ECONOMY,21806808263
31,31.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,134095146655
32,32.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INFRASTRUCTURE CONCESSIONARY REGULATORY COMMSSION,1189334898
33,33.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION,59364888597
34,34.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF SPECIAL DUTIES & INTER - GOVERNMENTAL AFFAIRS,3875692311
35,35.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,69238055969
36,36.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"FEDERAL MINISTRY OF FINANCE, BUDGET AND NATIONAL PLANNING",22169054232
37,37.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",16175683088
38,38.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,13515982438
39,39.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,50736470027
40,40.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF TRANSPORT,14227455550
41,41.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF AVIATION,7006520135
42,42.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF POWER,6069106811
43,43.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF PETROLEUM RESOURCES,27412872992
44,44.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF MINES AND STEEL DEVELOPMENT,11869656367
45,45.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF WORKS AND HOUSING,30677447355
46,46.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",839675151
47,47.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FISCAL RESPONSIBILITY COMMISSION,347896304
48,48.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF WATER RESOURCES,10073610063
49,49.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF JUSTICE,20277824801
50,50.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION,10889360452
51,51.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CAPITAL TERRITORY ADMINISTRATION MINISTRY OF NIGER DELTA AFFAIRS,2320200459
52,52.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF YOUTH & SPORTS DEVELOPMENT,170634907391
53,53.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF WOMEN AFFAIRS,1715256236
54,54.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF EDUCATION,545237211116
55,55.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF HEALTH,380208769472
56,56.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF ENVIRONMENT,21619815148
57,57.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL POPULATION COMMISSION,8468598545
58,58.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"FEDERAL MINISTRY OF HUMANITARIAN AFFAIRS, DISASTER MANAGEMENT & SOCIAL DEVELOPMENT",6344277946
59,59.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT BUREAU,2143474591
60,60.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT TRIBUNAL,781068334
61,61.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CHARACTER COMMISSION,3411252096
62,62.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,1217399871
63,63.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE SERVICE COMMISSION,1366699930
64,64.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"REVENUE MOBILISATION, ALLOCATION AND FISCAL COMMISSION",2249546994
65,65.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SUB-TOTAL: FEDERAL EXECUTIVE BODIES ,11169441816
66,66.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,GOVERNMENT OWNED ENTERPRISES,1013243726659
67,67.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF CIVIL SERVICE (CIVILIAN PENSION),40696756401
68,68.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,GRATUITIES,2185000000
69,69.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,38381756401
70,70.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSION RUNNING COST,130000000
71,71.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MILITARY PENSIONS AND GRATUITIES (DMP),186748495159
72,72.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,133596383192
73,73.0,2021.0,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,EXPECTED RETIREES,28541561619
74,74.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,DEATH BENEFITS,23096975630
75,75.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ADMINISTRATIVE CHARGES/RUNING COST,154500142
76,76.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,100000000
77,77.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MEDICAL RETIREES,1259074576
78,78.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NHIS - MILITARY RETIREES,8571846329
79,79.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NHIS - MILITARY RETIREES - ARREARS 2014 - 2018,4999999999
80,80.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NHIS - MILITARY RETIREES - INCLUDING ARREARS,3571846330
81,81.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,DIA CIVILIAN STAFF PENSION AND GRATUITIES,507225684
82,82.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION,238075794
83,83.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GRATUITY,223038464
84,84.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ADMINISTRATIVE CHARGES (INCLUDING VERIFICATION),46111426
85,85.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,POLICE PENSIONS AND GRATUITIES,7408000000
86,86.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,7308000000
87,87.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,100000000
88,88.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,"CUSTOMS, IMMIGRATION AND PRISIONS PENSION OFFICE",7900000000
89,89.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,7800000000
90,90.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,100000000
91,91.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,UNIVERSITIES PENSION INCLUDING ARREARS,15537657501
92,92.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,15537657501
93,93.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PARASTATALS PENSION AND RAILWAY PENSIONS,30502699595
94,94.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,30502699595
95,95.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,DEPARTMENT OF STATE SECURITY,12146093389
96,96.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS (INCLUDING ARREARS),9647031216
97,97.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GRATUITY,1835743137
98,98.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,DEATH BENEFITS,663319037
99,99.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NIGERIA INTELLIGENCE AGENCY,9326641130
100,100.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS/DEPENDANTS BENEFITS,8526641130
101,101.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,300000000
102,102.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,BOARD ESTABLISHMENT,500000000
103,103.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NELMCO,31292843014
104,104.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NELMCO PENSIONS/ARREARS,31292843014
105,105.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,OTHER PENSIONS,153552872477
106,106.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,DEFUNCT PRIVATISED AGENCIES PENSION,20000000000
107,107.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT INTO REDEMPTION FUND ,100000000000
108,108.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION PROTECTION FUND,20000000000
109,109.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,BENEFITS OF RETIRED HEADS OF SERVICE AND PERMANENT SECRETARIES AND PROFESSORS,4502491809
110,110.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SEVERANCE BENEFITS TO RETIRED HEADS OF GOVERNMENT AGENCIES AND PARASTATALS,1000000000
111,111.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ENTITTLEMENTS OF FORMER PRESIDENTS/HEADS OF STATES AND VICE PRESIDENTS/CHIEF OF GENERAL STAFF,2300000000
112,112.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT OF OUTSTANDING TERMINAL BENEFITS OF NIGERIA AIRWAYS EX-WORKERS,5750380668
113,113.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT OF OUTSTANDING DEATH BENEFIT TO CIVIL SERVANTS/POLICE,5000000000
114,114.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GROUP LIFE ASSURANCE FOR ALL MDAs INCLUDING DSS/INSURANCE OF SENSITIVE ASSETS/CORPERS PLUS ADMINISTRATION/MONITORING,15000000000
115,115.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PUBLIC SERVICE WAGE ADJUSTMENT FOR MDAS (INCLUDING ARREARS OF PROMOTION AND SALARY INCREASES & PAYMENT OF SEVERANCE BENEFITS AND MINIMUM WAGE RELATED ADJUSTMENTS),100000000000
116,116.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MILITARY OPERATIONS: LAFIYA DOLE & OTHER OPERATIONS OF THE ARMED FORCES,100000000000
117,117.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SETTLEMENT OF MDAs ELECTRICITY BILLS,3000000000
118,118.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,IPPIS CAPTURING/MONITORING,1000000000
119,119.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT FOR OUTSOURCED SERVICES,5000000000
120,120.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MARGIN FOR INCREASES IN COSTS AND RECURRENT ADJUSTMENT COSTS,3000000000
121,121.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME: REINTEGRATION OF TRANSFORMED EX-MILITANTS,65000000000
122,122.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SERVICE WIDE TRAINING OF BUDGET/PLANNING OFFICERS ON GIFMIS BUDGET PREPARATION SYSTEM (BPS) AS WELL AS MONITORING AND EVALUATION OF ALL PROJECTS NATIONWIDE,2000000000
123,123.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NATIONAL SOCIAL INVESTMENT PROGRAMME - NSIP (RECURRENT),350000000000
124,124.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTINGENCY (RECURRENT),20000000000
125,125.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,INTERNATIONAL SPORTING COMPETITIONS,3000000000
126,126.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,TSA OPERATIONS,1000000000
127,127.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,EMPLOYEE COMPENSATION ACT - EMPLOYEES COMPENSATION FUND,4000000000
128,128.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTRIBUTIONS TO INTERNATIONAL ORGANISATIONS,30000000000
129,129.0,2021.0,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GAVI/IMMUNISATION,45191855311
130,130.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PRESIDENCY,24090340416
131,131.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF DEFENCE,127850984984
132,132.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF FOREIGN AFFAIRS,7994280245
133,133.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF INFORMATION & CULTURE,19721066865
134,134.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF INTERIOR,38846293565
135,135.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,2491111568
136,136.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,AUDITOR GENERAL FOR THE FEDERATION,218432074
137,137.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF POLICE AFFAIRS,17882480948
138,138.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MINISTRY OF COMMUNICATION & DIGITAL ECONOMY,17664285343
139,139.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,45647587613
140,140.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,INFRASTRUCTURE CONCESSIONARY REGULATORY COMMSSION,353678953
141,141.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION,45637061225
142,142.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,SPECIAL DUTIES & INTER - GOVERNMENTAL AFFAIRS,8872787424
143,143.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,211077457584
144,144.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"FEDERAL MINISTRY OF FINANCE, BUDGET AND NATIONAL PLANNING",376359450498
145,145.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",64760781172
146,146.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,63526109193
147,147.0,2021.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,107061118360
